"id","namn","nyval_tillatet","adresser.adressid","adresser.adressrad","adresser.postnummer","adresser.postort","adresser.koordinater.latitud","adresser.koordinater.longitud","adresser.koordinater.north","adresser.koordinater.east","datum"
10072087,"Trim tab AB",FALSE,337251,Sankt Persgatan 99,60232,Norrköping,58.586353,16.190182,6494607,569195,"2023-11-29"
10072088,"Trim tab AB",FALSE,331616,Odinsgatan 13,41103,Göteborg,57.70879,11.981139,6400296,320147,"2023-11-29"
10072088,"Trim tab AB",FALSE,331615,Angereds torg 3,42465,Angered,57.797024,12.051179,6409930,324746,"2023-11-29"
10072089,"Trim tab AB",FALSE,336429,Druveforsvägen 8,50433,Borås,57.715477,12.938707,6398902,377205,"2023-11-29"
10072090,"Jobbmaskinen DistansMatchning AB",FALSE,331636,Lisa Sass gata 1,42253,Hisings Backa,57.75021,11.989525,6404883,320851,"2023-11-29"
10072090,"Jobbmaskinen DistansMatchning AB",FALSE,331634,Östra Hamngatan 17,41110,Göteborg,57.70837,11.966753,6400288,319288,"2023-11-29"
10072090,"Jobbmaskinen DistansMatchning AB",FALSE,331633,Odinsgatan 13,41103,Göteborg,57.70879,11.981139,6400296,320147,"2023-11-29"
10072090,"Jobbmaskinen DistansMatchning AB",FALSE,331635,Distansgatan 2,42174,Västra Frölunda,57.667152,11.936185,6395784,317260,"2023-11-29"
10072091,"Jobbmaskinen DistansMatchning AB",FALSE,331639,Sporthallsvägen 2B,26334,Höganäs,56.190388,12.563619,6229941,348813,"2023-11-29"
10072092,"Jobbmaskinen DistansMatchning AB",FALSE,331640,Handenterminalen 5,13640,Handen,59.167473,18.135607,6562913,679230,"2023-11-29"
10072092,"Jobbmaskinen DistansMatchning AB",FALSE,331641,Elektronvägen 1,14149,Huddinge,59.221924,17.954124,6568499,668592,"2023-11-29"
10072093,"Jobbmaskinen DistansMatchning AB",FALSE,331642,Färögatan 33,16451,Kista,59.401672,17.94677,6588484,667287,"2023-11-29"
10072093,"Jobbmaskinen DistansMatchning AB",FALSE,331645,Gustavslundsvägen 12,16751,Bromma,59.332664,17.984428,6580900,669769,"2023-11-29"
10072093,"Jobbmaskinen DistansMatchning AB",FALSE,331644,Glasfibergatan 6,12545,Älvsjö,59.28124,18.002253,6575223,671040,"2023-11-29"
10072095,"Cleverex Jobbförmedling & Utbildning AB",FALSE,336163,Vaktelvägen 2,70348,Örebro,59.275608,15.165093,6570753,509409,"2023-11-29"
10072095,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331656,Radiatorvägen 15,70227,Örebro,59.25923,15.179742,6568932,510249,"2023-11-29"
10072095,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331655,Ozongatan 1,70374,Örebro,59.29667,15.208047,6573106,511850,"2023-11-29"
10072097,"Aredu AB",FALSE,331659,Aurorumvägen 1,97775,Luleå,65.61794,22.129011,7295934,827835,"2023-11-29"
10072099,"Aredu AB",FALSE,331661,Kunskapsallén 16a,94163,Piteå,65.32876,21.462748,7260523,800594,"2023-11-29"
10072100,"Trim tab AB",FALSE,331662,Teknikringen 10,58330,Linköping,58.394165,15.559257,6472731,532693,"2023-11-29"
10072101,"Aredu AB",FALSE,331663,Scheelevägen 17,22363,Lund,55.714893,13.215032,6175792,387864,"2023-11-29"
